"DED021.Code.or.Value","DED021.Value.Description","DED021.Count","DED021.Cumulative","DED021.Skip.to.Item"
"1","Red",67,67,NA
"2","Blonde",274,341,NA
"3","Light brown",440,781,NA
"4","Medium brown",510,1291,NA
"5","Dark brown",810,2101,NA
"6","Black",1029,3130,NA
"7","Other",8,3138,NA
"77","Refused",0,3138,NA
"99","Don't know",0,3138,NA
".","Missing",2,3140,NA
