"RHD350.Code.or.Value","RHD350.Value.Description","RHD350.Count","RHD350.Cumulative","RHD350.Skip.to.Item"
"1","Yes",554,554,NA
"2","No",1816,2370,NA
"7","Refused",0,2370,NA
"9","Don't know",12,2382,NA
".","Missing",1483,3865,NA
