"LBXLZ1.Code.or.Value","LBXLZ1.Value.Description","LBXLZ1.Count","LBXLZ1.Cumulative","LBXLZ1.Skip.to.Item"
"1","Sensitive",370,370,NA
"2","Non susceptible",0,370,NA
"3","No result",0,370,NA
".","Missing",8809,9179,NA
