"LB2BAPCT.Code.or.Value","LB2BAPCT.Value.Description","LB2BAPCT.Count","LB2BAPCT.Cumulative","LB2BAPCT.Skip.to.Item"
"0 to 7.9","Range of Values",551,551,NA
".","Missing",6,557,NA
