"LBXPV58.Code.or.Value","LBXPV58.Value.Description","LBXPV58.Count","LBXPV58.Cumulative","LBXPV58.Skip.to.Item"
"1","Positive",167,167,NA
"2","Negative",3350,3517,NA
".","Missing",329,3846,NA
