"LBXF04.Code.or.Value","LBXF04.Value.Description","LBXF04.Count","LBXF04.Cumulative","LBXF04.Skip.to.Item"
"5.44 to 228.1","Range of Values",1866,1866,NA
".","Missing",419,2285,NA
