"LBDV08LC.Code.or.Value","LBDV08LC.Value.Description","LBDV08LC.Count","LBDV08LC.Cumulative","LBDV08LC.Skip.to.Item"
"0","At or above detection limit",79,79,NA
"1","Below lower detection limit",2784,2863,NA
".","Missing",309,3172,NA
