"TYXA162.Code.or.Value","TYXA162.Value.Description","TYXA162.Count","TYXA162.Cumulative","TYXA162.Skip.to.Item"
"0.09 to 6.38","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
