"WBXF013.Code.or.Value","WBXF013.Value.Description","WBXF013.Count","WBXF013.Cumulative","WBXF013.Skip.to.Item"
"500 to 500","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
