"LBXPL1.Code.or.Value","LBXPL1.Value.Description","LBXPL1.Count","LBXPL1.Cumulative","LBXPL1.Skip.to.Item"
"31 to 4730","Range of Values",4348,4348,NA
".","Missing",1295,5643,NA
