"SSAG_R.Code.or.Value","SSAG_R.Value.Description","SSAG_R.Count","SSAG_R.Cumulative","SSAG_R.Skip.to.Item"
"0 to 5.64","Range of Values",210,210,NA
".","Missing",1879,2089,NA
