"BIXC304K.Code.or.Value","BIXC304K.Value.Description","BIXC304K.Count","BIXC304K.Cumulative","BIXC304K.Skip.to.Item"
"23.23 to 123.1","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
