"OHD12LAM.Code.or.Value","OHD12LAM.Value.Description","OHD12LAM.Count","OHD12LAM.Cumulative","OHD12LAM.Skip.to.Item"
"0 to 6","Range of Values",2102,2102,NA
"99","Calculation cannot be determined",452,2554,NA
".","Missing",4164,6718,NA
