"CDQ040.Code.or.Value","CDQ040.Value.Description","CDQ040.Count","CDQ040.Cumulative","CDQ040.Skip.to.Item"
"1","Yes",356,356,NA
"2","No",181,537,NA
"7","Refused",0,537,NA
"9","Don't know",4,541,NA
".","Missing",2644,3185,NA
