"WTSPH38.Code.or.Value","WTSPH38.Value.Description","WTSPH38.Count","WTSPH38.Cumulative","WTSPH38.Skip.to.Item"
"0 to 813853.13128","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
