"SSEN1_N.Code.or.Value","SSEN1_N.Value.Description","SSEN1_N.Count","SSEN1_N.Cumulative","SSEN1_N.Skip.to.Item"
"2.89 to 714","Range of Values",1760,1760,NA
".","Missing",18,1778,NA
