"OHQ590U.Code.or.Value","OHQ590U.Value.Description","OHQ590U.Count","OHQ590U.Cumulative","OHQ590U.Skip.to.Item"
"1","Months",3,3,NA
"2","Years",76,79,NA
".","Missing",9691,9770,NA
