"TYXP001.Code.or.Value","TYXP001.Value.Description","TYXP001.Count","TYXP001.Cumulative","TYXP001.Skip.to.Item"
"164 to 199","Range of Values",5585,5585,NA
".","Missing",0,5585,NA
