"WTMREP41.Code.or.Value","WTMREP41.Value.Description","WTMREP41.Count","WTMREP41.Cumulative","WTMREP41.Skip.to.Item"
"0 to 263442.38982","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
