"ECD010.Code.or.Value","ECD010.Value.Description","ECD010.Count","ECD010.Cumulative","ECD010.Skip.to.Item"
"15 to 44","Range of Values",3037,3037,NA
"14","14 years or younger",3,3040,NA
"45","45 years or older",6,3046,NA
"7777","Refused",3,3049,NA
"9999","Don't know",43,3092,NA
".","Missing",1,3093,NA
