"BPQ040C.Code.or.Value","BPQ040C.Value.Description","BPQ040C.Count","BPQ040C.Cumulative","BPQ040C.Skip.to.Item"
"1","Yes",1157,1157,NA
"2","No",637,1794,NA
"7","Refused",0,1794,NA
"9","Don't know",7,1801,NA
".","Missing",4412,6213,NA
