"SSIPPPL.Code.or.Value","SSIPPPL.Value.Description","SSIPPPL.Count","SSIPPPL.Cumulative","SSIPPPL.Skip.to.Item"
"0","At or above the detection limit",606,606,NA
"1","1 Below lower detection limit",1810,2416,NA
".","Missing",14,2430,NA
