"MSAEXLEN.Code.or.Value","MSAEXLEN.Value.Description","MSAEXLEN.Count","MSAEXLEN.Cumulative","MSAEXLEN.Skip.to.Item"
"0 to 2429","Range of Values",2293,2293,NA
".","Missing",0,2293,NA
