"RFXT011.Code.or.Value","RFXT011.Value.Description","RFXT011.Count","RFXT011.Cumulative","RFXT011.Skip.to.Item"
"80 to 88","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
