"URDBBALC.Code.or.Value","URDBBALC.Value.Description","URDBBALC.Count","URDBBALC.Cumulative","URDBBALC.Skip.to.Item"
"0","At or above the detection limit",233,233,NA
"1","Below lower detection limit",2572,2805,NA
".","Missing",181,2986,NA
