"LBXIRN.Code.or.Value","LBXIRN.Value.Description","LBXIRN.Count","LBXIRN.Cumulative","LBXIRN.Skip.to.Item"
"11 to 481","Range of Values",5922,5922,NA
".","Missing",479,6401,NA
