"LBXHCY.Code.or.Value","LBXHCY.Value.Description","LBXHCY.Count","LBXHCY.Cumulative","LBXHCY.Skip.to.Item"
"2.13 to 145.00","Range of Values",4490,4490,NA
".","Missing",283,4773,NA
