"LBXCPSI.Code.or.Value","LBXCPSI.Value.Description","LBXCPSI.Count","LBXCPSI.Cumulative","LBXCPSI.Skip.to.Item"
"0.068 to 5.112","Range of Values",3131,3131,NA
"0.021","Below Limit of Detection",6,3137,NA
".","Missing",219,3356,NA
