"PHQ060.Code.or.Value","PHQ060.Value.Description","PHQ060.Count","PHQ060.Cumulative","PHQ060.Skip.to.Item"
"1","Yes",137,137,NA
"2","No",7859,7996,NA
".","Missing",370,8366,NA
