"CBQ695a.Code.or.Value","CBQ695a.Value.Description","CBQ695a.Count","CBQ695a.Cumulative","CBQ695a.Skip.to.Item"
"1","The amount of this food that people should eat",2484,2484,NA
"7","Refused",0,2484,NA
"9","Don't know",99,2583,NA
".","Missing",2681,5264,NA
