"PAQ100.Code.or.Value","PAQ100.Value.Description","PAQ100.Count","PAQ100.Cumulative","PAQ100.Skip.to.Item"
"1","Yes",3637,3637,""
"2","No",2362,5999,"PAQ180"
"3","Unable to do activity",138,6137,"PAQ180"
"7","Refused",1,6138,"PAQ180"
"9","Don't know",1,6139,"PAQ180"
".","Missing",3285,9424,""
