"URDPDALC.Code.or.Value","URDPDALC.Value.Description","URDPDALC.Count","URDPDALC.Cumulative","URDPDALC.Skip.to.Item"
"0","At or above detection limit",310,310,NA
"1","Below lower detection limit",2298,2608,NA
".","Missing",671,3279,NA
