"AUXLR264.Code.or.Value","AUXLR264.Value.Description","AUXLR264.Count","AUXLR264.Cumulative","AUXLR264.Skip.to.Item"
"-29 to 82","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
