"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"143.7 to 362.5","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
