"DX2HEBMC.Code.or.Value","DX2HEBMC.Value.Description","DX2HEBMC.Count","DX2HEBMC.Cumulative","DX2HEBMC.Skip.to.Item"
"280.98 to 867.27","Range of Values",479,479,NA
".","Missing",6,485,NA
