"LBXGLY.Code.or.Value","LBXGLY.Value.Description","LBXGLY.Count","LBXGLY.Cumulative","LBXGLY.Skip.to.Item"
"8.4 to 329","Range of Values",2267,2267,NA
".","Missing",425,2692,NA
