"VTQ280C.Code.or.Value","VTQ280C.Value.Description","VTQ280C.Count","VTQ280C.Cumulative","VTQ280C.Skip.to.Item"
"1","Yes",203,203,NA
"2","No",2377,2580,NA
"7","Refused",0,2580,NA
"9","Don't know",9,2589,NA
".","Missing",705,3294,NA
