"LBXVID.Code.or.Value","LBXVID.Value.Description","LBXVID.Count","LBXVID.Cumulative","LBXVID.Skip.to.Item"
"3 to 80","Range of Values",7807,7807,NA
".","Missing",840,8647,NA
