"LEXRABPI.Code.or.Value","LEXRABPI.Value.Description","LEXRABPI.Count","LEXRABPI.Cumulative","LEXRABPI.Skip.to.Item"
"0.36 to 2.07","Range of Values",2339,2339,NA
".","Missing",747,3086,NA
