"RFXC044.Code.or.Value","RFXC044.Value.Description","RFXC044.Count","RFXC044.Cumulative","RFXC044.Skip.to.Item"
"-7.304 to 5.268","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
