"RFXC007.Code.or.Value","RFXC007.Value.Description","RFXC007.Count","RFXC007.Cumulative","RFXC007.Skip.to.Item"
"-4.318 to 4.087","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
