"DXXANTV.Code.or.Value","DXXANTV.Value.Description","DXXANTV.Count","DXXANTV.Cumulative","DXXANTV.Skip.to.Item"
"0","Valid",4053,4053,NA
"1","Invalid",304,4357,NA
".","Missing",757,5114,NA
