"URDMTOLC.Code.or.Value","URDMTOLC.Value.Description","URDMTOLC.Count","URDMTOLC.Cumulative","URDMTOLC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2572,2573,NA
".","Missing",121,2694,NA
