"WTSAU15.Code.or.Value","WTSAU15.Value.Description","WTSAU15.Count","WTSAU15.Cumulative","WTSAU15.Skip.to.Item"
"0 to 479609.31644","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
