"AUXRR248.Code.or.Value","AUXRR248.Value.Description","AUXRR248.Count","AUXRR248.Cumulative","AUXRR248.Skip.to.Item"
"-14 to 71","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
