"PAD460.Code.or.Value","PAD460.Value.Description","PAD460.Count","PAD460.Cumulative","PAD460.Skip.to.Item"
"1 to 210","Range of Values",2573,2573,NA
"777","Refused",0,2573,NA
"999","Don't know",1,2574,NA
".","Missing",6850,9424,NA
