"IND247.Code.or.Value","IND247.Value.Description","IND247.Count","IND247.Cumulative","IND247.Skip.to.Item"
"1","Less than $500",4157,4157,NA
"2","$501- $1000",269,4426,NA
"3","$1001-$2000",141,4567,NA
"4","$2001-$3000",96,4663,NA
"5","$3001-$4000",43,4706,NA
"6","$4001-$5000",27,4733,NA
"77","Refused",52,4785,NA
"99","Don't know",24,4809,NA
".","Missing",5366,10175,NA
