"DXDTRA.Code.or.Value","DXDTRA.Value.Description","DXDTRA.Count","DXDTRA.Cumulative","DXDTRA.Skip.to.Item"
"293.81 to 1027.33","Range of Values",3918,3918,NA
".","Missing",1196,5114,NA
