"DTD170Q.Code.or.Value","DTD170Q.Value.Description","DTD170Q.Count","DTD170Q.Cumulative","DTD170Q.Skip.to.Item"
"0 to 67","Range of Values",7845,7845,NA
"777","Refused",3,7848,NA
"999","Don't know",8,7856,NA
".","Missing",685,8541,NA
