"LBXME1.Code.or.Value","LBXME1.Value.Description","LBXME1.Count","LBXME1.Cumulative","LBXME1.Skip.to.Item"
"1","Sensitive",204,204,NA
"2","Resistant",166,370,NA
"3","Intermediate",0,370,NA
"4","No Result",0,370,NA
".","Missing",8809,9179,NA
