"WBXF082.Code.or.Value","WBXF082.Value.Description","WBXF082.Count","WBXF082.Cumulative","WBXF082.Skip.to.Item"
"3886.1278 to 3886.1278","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
