"MCQ250C.Code.or.Value","MCQ250C.Value.Description","MCQ250C.Count","MCQ250C.Cumulative","MCQ250C.Skip.to.Item"
"1","Yes",1058,1058,"MCQ260CA"
"2","No",3868,4926,""
"7","Refused",0,4926,""
"9","Don't know",114,5040,""
".","Missing",4605,9645,""
