"CIQG20.Code.or.Value","CIQG20.Value.Description","CIQG20.Count","CIQG20.Cumulative","CIQG20.Skip.to.Item"
"7 to 39","Range of Values",53,53,NA
"77","Refused",0,53,NA
"99","Don't know",0,53,NA
".","Missing",797,850,NA
