"DX2TOLE.Code.or.Value","DX2TOLE.Value.Description","DX2TOLE.Count","DX2TOLE.Cumulative","DX2TOLE.Skip.to.Item"
"26256.7 to 84729.8","Range of Values",414,414,NA
".","Missing",71,485,NA
