"LBDVBZLC.Code.or.Value","LBDVBZLC.Value.Description","LBDVBZLC.Count","LBDVBZLC.Cumulative","LBDVBZLC.Skip.to.Item"
"0","At or above detection limit",914,914,NA
"1","Below lower detection limit",1926,2840,NA
".","Missing",332,3172,NA
