"PAQ724s.Code.or.Value","PAQ724s.Value.Description","PAQ724s.Count","PAQ724s.Cumulative","PAQ724s.Skip.to.Item"
"19","RUNNING/JOGGING",1015,1015,NA
".","Missing",8240,9255,NA
