"AUXTPVL.Code.or.Value","AUXTPVL.Value.Description","AUXTPVL.Count","AUXTPVL.Cumulative","AUXTPVL.Skip.to.Item"
"0.09 to 5.234","Range of Values",2778,2778,NA
".","Missing",353,3131,NA
