"DUQ110.Code.or.Value","DUQ110.Value.Description","DUQ110.Count","DUQ110.Cumulative","DUQ110.Skip.to.Item"
"0 to 300","Range of Values",538,538,NA
"777","Refused",5,543,NA
"999","Don't know",5,548,NA
".","Missing",2444,2992,NA
