"WTSAU29.Code.or.Value","WTSAU29.Value.Description","WTSAU29.Count","WTSAU29.Cumulative","WTSAU29.Skip.to.Item"
"0 to 476846.1016","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
