"OSQ120a.Code.or.Value","OSQ120a.Value.Description","OSQ120a.Count","OSQ120a.Cumulative","OSQ120a.Skip.to.Item"
"1","Yes",204,204,""
"2","No",558,762,"OSQ060"
"7","Refused",0,762,"OSQ060"
"9","Don't know",1,763,"OSQ060"
".","Missing",2306,3069,""
