"LBXD03.Code.or.Value","LBXD03.Value.Description","LBXD03.Count","LBXD03.Cumulative","LBXD03.Skip.to.Item"
"8.34 to 1316.8","Range of Values",1871,1871,NA
".","Missing",414,2285,NA
