"DXXPT15X.Code.or.Value","DXXPT15X.Value.Description","DXXPT15X.Count","DXXPT15X.Cumulative","DXXPT15X.Skip.to.Item"
"681.1 to 1211.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
