"AUDTYR73.Code.or.Value","AUDTYR73.Value.Description","AUDTYR73.Count","AUDTYR73.Cumulative","AUDTYR73.Skip.to.Item"
"0 to 1.31","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
