"MPQ120AD.Code.or.Value","MPQ120AD.Value.Description","MPQ120AD.Count","MPQ120AD.Cumulative","MPQ120AD.Skip.to.Item"
"39","Hand - left",128,128,NA
".","Missing",4913,5041,NA
